,description,urlToImage,publishedAt,author,source,title,url,quotes,text
0,"Contrary to popular belief, not every piece of correspondence received by writers at The Root begins with “You’re the racist” or “Not all white people... ” For every piece of hate mail received by black writers who discuss race and racism in America, there ar…",https://media.salon.com/2017/09/kellyanne-conway.jpg,2017-10-09T18:04:00Z,"Michael Harriot on The Root, shared by Virginia K. Smith to Lifehacker",Theroot.com,5 Ways White People Can Fight White Supremacy,https://www.theroot.com/5-ways-white-people-can-fight-white-supremacy-1819286547,[],
1,"Most of the Steelers sat out the national anthem on Sunday, after President Trump expressed an opinion on what players should do during the anthem. Steelers coach Mike Tomlin said, “We’re not going to play politics.” That is, however, impossible. Read more...","https://i.kinja-img.com/gawker-media/image/upload/s---1c12qn5--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/aps4tpeq7pcsitnrcbt9.jpg",2017-09-25T15:15:00Z,Beth Skwarecki,Lifehacker.com,"Everything Is Political, and Always Has Been",https://lifehacker.com/everything-is-political-and-always-has-been-1818724298,[],"Arian Foster #29, Kenny Stills #10 and Michael Thomas #31 of the Miami Dolphins making a political statement, just like everyone who remained standing or complained about any of the above was making a political statement. Photo by Maddie Meyer/Getty Images.

Most of the Steelers sat out the national anthem on Sunday, after President Trump expressed an opinion on what players should do during the anthem. Steelers coach Mike Tomlin said, “We’re not going to play politics.” That is, however, impossible.



Everything is political, and it always has been. Politics is what the government does, and what opinions people have about what the government should do. Politics dictates what you can do and say, and what options you have in living your life. As they say, the personal is political.

Advertisement

Your ability to afford health insurance and to access care (or not) is political, in the sense that it was shaped by the actions or inactions of a government. The fact that hepatitis A is raging in the streets of San Diego is political. The fact that police kill unarmed black men at an alarming rate—and, indeed, the entire way that police and prisons and the criminal justice system operate—is political. Being able to marry the person you love is political. Fearing that they will be deported is political. Thanks to weakened safety regulations and climate-change denial, even hurricanes these days are political.



The fact that we go to war, and hang flags, and sing anthems and honor soldiers is political.

One Steelers player, Alejandro Villanueva, went on the field and stood for the anthem anyway. He is a veteran who has reportedly said that honoring service members by standing for the flag is more important than protesting against racial injustice. That is a very political statement.

Where do we get this idea that it’s possible to avoid making political statements? Well, if the police don’t spend much time in your mostly white suburb, protests of police violence are a spectator sport you can choose not to watch. If you can’t get pregnant, access to birth control and abortion is something you can ignore. If you don’t know any undocumented people, DACA seems like a political football with no relevance to your life. The only way to pretend that something is “not political” is to not have a stake in it."
2,"Sometimes certain words and phrases bubble up in the right-wing word cloud—Jeremiah Wright, birth certificate, Vince Foster, Kenya, Benghazi. The latest to surge to the front is “Uranium One,” the latest story on alleged Clintonian malfeasance to make headlin…","https://i.kinja-img.com/gawker-media/image/upload/s--JjsZPU08--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/i58cy3twnmiqcf5raftv.jpg",2017-11-15T15:45:00Z,Leigh Anderson,Lifehacker.com,What Is Uranium One and Why Is It Suddenly a Big Story?,https://lifehacker.com/what-is-uranium-one-and-why-is-it-suddenly-a-big-story-1820468007,[],"Photo by Matthew Horwood/Getty Images

Sometimes certain words and phrases bubble up in the right-wing word cloud—Jeremiah Wright, birth certificate, Vince Foster, Kenya, Benghazi. The latest to surge to the front is “Uranium One,” the latest story on alleged Clintonian malfeasance to make headlines on both right-wing and mainstream media.



A quick primer: A Russian company, Rosatom, acquired a majority stake in Uranium One, a Canadian company with rights to mine U.S. uranium, in 2010, and bought the rest in 2013. As the Associated Press explains:

“Because Uranium One had holdings in American uranium mines, which at the time accounted for about 20 percent of America’s licensed uranium mining capacity, Rosatom’s 2010 purchase had to be approved by the Committee on Foreign Investment in the United States. That committee, known as CFIUS, is made up of officials from nine federal agencies, including the State Department, which [Secretary] Clinton ran at the time.”

President Trump, mired in his own Russia scandal, has recently made this an issue, raising questions about some kind of quid pro quo deal, as people associated with Uranium One had donated millions of dollars to the Clinton Foundation. The connection was first noted in a book by Peter Schweizer, who frequently collaborates on films and books with Steve Bannon of Breitbart News.



So Why Now? And Is There Anything to This?

On Monday, the Justice Department said prosecutors were investigating whether a special prosecutor should be appointed to look into the Uranium One deal and ties to the Clinton Foundation. This appears to be a response to the president’s statement that Jeff Sessions, the attorney general, should be investigating the Clintons and the Obama administration.

Advertisement

This is troubling for several reasons—the first of which is that presidents are not supposed to use their platform to punish political rivals. Secondly, as the Times notes: “Any such investigation would raise questions about the independence of federal investigations under Mr. Trump. Since Watergate, the Justice Department has largely operated independently of political influence on cases related to the president’s opponents.” The third issue—and this is the kicker—is that the F.B.I. investigated the Clinton Foundation in 2015, and did not uncover enough evidence to mount a case.

The story has a strong, strong whiff of distraction—if the media is once more whipped up about Secretary Clinton, perhaps it will devote less air time to Special Counsel Robert Mueller’s investigation of the Trump campaign’s alleged ties to Russian in the 2016 election, an investigation that issued its first indictments two weeks ago.

Interested in further reading? Check out the New York Times’ story What is the Uranium One Deal and Why Does the Trump Administration Care So Much? or Shepherd Smith’s thorough explainer on Fox News:"
3,"To say that the current administration has been pushing extremely harsh immigration policies would be putting it mildly. Trump even went so far as to repeal the Deferred Action for Childhood Arrivals (DACA) program, which was intended to protect undocumented …","https://i.kinja-img.com/gawker-media/image/upload/s--TRXCBZEi--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ro7aopivne2e0ko49tcw.jpg",2017-11-11T15:30:00Z,Aimée Lutkin,Lifehacker.com,These Cities Are Providing Free Legal Representation to Residents Facing Deportation,https://lifehacker.com/these-cities-are-providing-free-legal-representation-to-1820344551,[],"Image via Getty.

To say that the current administration has been pushing extremely harsh immigration policies would be putting it mildly. Trump even went so far as to repeal the Deferred Action for Childhood Arrivals (DACA) program, which was intended to protect undocumented immigrants brought to the US as children. The country has experienced sweeping raids that have imperiled many, and as such, American cities are now working together to protect people from dangerous federal policies.

The Vera Institute of Justice has just awarded grant money to support an enterprise called the SAFE Cities Network. Cities in eight states have banded together to build a fund that will pay for legal representation for immigrants facing deportation. All cities in the network had to apply to the Vera Institute with a proposal to prove they are committed to spending public dollars on deportation defense, which will then be matched by the institute.

Advertisement

In conjunction with the announcement of the SAFE Cities Network, the Vera Institute released a new study that shows having access to a lawyer makes all the difference when it comes to keeping families together. The study highlights the “common misperception” that only illegal immigrants face deportation proceedings; in reality, many people are vulnerable to being thrust into the deeply complicated world of immigration law:



In fact, any non-citizen—including lawful permanent residents (green card holders), refugees, and people who entered legally on visas can be placed in deportation proceedings.

And to put some numbers to it, the New York Immigrant Family Unity Project reported that only 4% of cases had a “successful outcome” without an attorney. The NYUFUP has worked to get universal access to representation for immigration cases, and since implementing that measure, has seen a 48% successful outcome rate, which is an 1100% increase.

As of now, this is the list of cities in the SAFE network:

Atlanta GA



Austin TX



Baltimore MD



Chicago IL



Columbus OH



Dane County WI



Oakland/Alameda County CA



Prince George’s County MD



Sacramento CA



San Antonio TX



Santa Ana CA



The Baltimore Sun reports that Mayor Catherine Pugh announced Baltimore’s participation in SAFE Cities in a statement that emphasizes how providing adequate legal representation makes all members of a community safer:

“Our community is safest when our neighbors trust their officials and institutions and know they will be treated justly and with dignity,” Pugh said in a news release. “Providing legal representation to those facing deportation maintains trust in law enforcement and our local institutions and keeps us all safe. If our residents don’t feel safe – for example, coming forward to report crimes and cooperating with law enforcement – all of us are at more risk.”

SAFE Cities will ensure that anyone who meets their financial eligibility requirement receives a lawyer during deportation hearings, as long as they are within one of those districts associated with the network. It isn’t immediately clear how lawyers will be connected with the people who need them, but the Vera Institute writes that they will “provide technical expertise and support, including assistance in identifying and training legal service providers, providing opportunities to share best practices with other jurisdictions, and providing data collection and analyses for the purpose of evaluating the network’s impact.”

Advertisement

You can also look to see where the jurisdictions supporting the initiative are on a map, and try contacting them here. Due process is a founding ideal of the United States, and these cities are working to make sure it extends to everyone living here."
4,"Yesterday ESPN suspended host Jemele Hill for what the company is saying is the second violation of ESPN’s social-media guidelines. On Sunday, Hill had tweeted: Read more...","https://i.kinja-img.com/gawker-media/image/upload/s--5NPysJQW--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/pbfvavmg3ctfthsulgbm.jpg",2017-10-10T14:35:00Z,Leigh Anderson,Lifehacker.com,What Are an Employee9s Rights on Social Media?,https://lifehacker.com/what-are-an-employees-rights-on-social-media-1819315034,[],"Yesterday ESPN suspended host Jemele Hill for what the company is saying is the second violation of ESPN’s social-media guidelines. On Sunday, Hill had tweeted:



CNN’s statement on her suspension references her September tweet calling President Trump a white supremacist:

Her suspension raises some questions, specifically about whether ESPN is within its rights to discipline an employee for speaking out on social media about political issues—albeit political issues that intersect with corporate interests.

Advertisement

“The baseline is that you don’t have First Amendment protections in private-sector employment,” says David Wachtel, an attorney at Trister, Ross, Schadler & Gold in Washington. “You can be fired for activity on social media.”

However, he notes that companies should have social media policies in place that are part of employee handbooks—so if you are speaking out on Twitter but still in compliance with the specifics of the policy, you may have a case for breach of contract if you’re fired. (Whether you have the stomach for that is another matter.)

“Social media policies usually include something like ‘You don’t say you speak for us unless we say you speak for us.’ That’s what the Hill blow-up was the first time around. And they may also say you can’t say anything that hurts the business—and ESPN may say if you’re saying ‘boycott sponsors,’ you’re saying ‘boycott ESPN,’” says Wachtel.

Advertisement

In September, after the white supremacist tweet, the New York Times ran a story on a Connecticut statute (ESPN is based in Bristol, Connecticut) that “provides free-speech protections beyond the First Amendment, making it illegal for ESPN to punish Hill, according to some labor lawyers.” It also notes that ESPN has encouraged its hosts to comment provocatively on cultural issues.

However, the statute offers a caveat: “Provided such activity does not substantially or materially interfere with the employee’s bona fide job performance or the working relationship between the employee and the employee.” An argument can be made that Hill’s tweet does substantially interfere.

So what can an employee do to protect herself (besides not speaking publicly on any cultural or political matters at all?) Wachtel says: “You can protect yourself by following the social-media policy. If the policy allows you to [speak freely], you may have a couple of different legal arguments [if you’re disciplined], like breach of contract. The best inoculation is to follow social media policy like it’s a contract.”

So there’s no predicting if Jemele Hill will keep a lid on her political opinions, now that she’s been suspended. For some employees, the right to speak freely about pressing matters of public concern might be more valuable than a job."
5,"In general, people take jobs to make money. But if you work for the White House, you have to be prepared for the possibility that, down the road, you might eventually need to lawyer up. And that can get...expensive. Like, half a million dollars expensive, acc…","https://i.kinja-img.com/gawker-media/image/upload/s--L3jN6nMY--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/zhbq7s63zbaszpf6igo8.jpg",2017-09-28T14:30:00Z,Leigh Anderson,Lifehacker.com,How Not to Lose Your Shirt When You9re Under Federal Investigation,https://lifehacker.com/how-not-to-lose-your-shirt-when-youre-under-federal-inv-1818839606,[],"Photo by Andrew Harrer - Pool/Getty Images

In general, people take jobs to make money. But if you work for the White House, you have to be prepared for the possibility that, down the road, you might eventually need to lawyer up. And that can get...expensive. Like, half a million dollars expensive, according to Bloomberg Politics. Writer Shannon Pettypiece reports on the tale of Michael Caputo, who spent four months as Trump’s campaign chair and now has $30,000 in legal bills to show for it. Now, legal fees might not be so crippling if you can use your campaign funds to pay them, as President Trump is reportedly doing, but what if you’re a lowly administrative assistant? You could, theoretically, be forced to tap your kid’s college fund or your retirement savings.



To get an idea of better how to protect yourself financially when you’re under investigation, I spoke to Matt Kaiser, a former federal public defender and partner at KaiserDillon in Washington, D.C.

Insurance

FEDS offers insurance to federal employees in the event they need to cover legal fees. “It generally won’t cover you if you’re indicted,” says Kaiser, “but it will take care of you if there’s an investigation like the one we’re seeing now.” If you are insured, the insurance company will likely want to select the lawyer representing you, “so you do lose some flexibility there,” says Kaiser.

Keep Calm and Comparison Shop

“Some people freak out and hire the biggest name they can find, and that winds up not being cheap,” says Kaiser. His firm represented some of the people caught up in the Lois Lerner IRS investigation, and he notes that some of the IRS employees hired the really big law firms, “and they ended up spending north of $100,000,” he says. “Our clients hired us. We have a different rate structure. Of course, it ended up being more money than they wanted, but we’re talking a couple of vacations versus your retirement savings.”

Advertisement

Also remember that in these kinds of situations, there might be 50 people under investigation, but only 10-15 are going to incur major expenses. For everyone else, it’s an interview or two. You need representation, but it’s not necessarily going to break the bank.

Use Campaign Funds

This is how Trump is reportedly dealing with his legal fees from the Russia probe. How those funds are used is at the discretion of the campaign chair—though Kaiser notes that there might not be much practical difference between the wishes of the candidate and the wishes of the campaign chair. So when you decide to go to work for Candidate X, “you’re betting that they’re such a good guy or such a good woman that they’ll help you out.”

Set Up a Legal Defense Fund

The Clintons established a legal defense fund, as did Scooter Libby, to pay their legal bills (which in Libby’s case reportedly reached into the millions of dollars). But if you’re not a higher-up or a big name—or have big names pulling for you—this might not get you very far.

Ask Your Employer

“This is more in the case of someone, for example, in a lobbying shop,” says Kaiser. “Sometimes an employer will have your back and pay your fees. Don’t be shy about asking your employer to pay.” The advantage to this scenario is that is the employer is paying, the various defense lawyers can cooperate: “We’re strategic about what we talk about, but we need to find what the government is asking for. And if the employer is paying, usually all the attorneys are good, sophisticated lawyers.”

What You Can’t Do

Don’t bother putting all your assets in a trust or an LLC or anything like that before you go to work for, say, a member of Congress. “Making yourself look impoverished is not going to help you,” says Kaiser. “Lawyers do focus on whether you can pay them.”"
6,"Back in October when the president signed an executive order about birth control coverage, we thought—and he probably thought—that it would allow religious employers to deny contraceptive coverage to their employees. Notre Dame thought that too. But it appear…","https://i.kinja-img.com/gawker-media/image/upload/s--VzhMq5Ru--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/oorbjaayeyxgev3whnqw.jpg",2017-11-08T21:30:00Z,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",Lifehacker.com,Religious Employers May Not Be Able to Take Away Your Birth Control After All,https://vitals.lifehacker.com/religious-employers-may-not-be-able-to-take-away-your-b-1820258865,[],"Photo by Mariano Mantel.

Back in October when the president signed an executive order about birth control coverage, we thought—and he probably thought—that it would allow religious employers to deny contraceptive coverage to their employees. Notre Dame thought that too. But it appears all of us were wrong.



It seems to have gone like this. Notre Dame is a Catholic university, and holds the position that birth control is wrong and bad. (Religions are weird, okay?) Federal law—the ACA—requires that insurance plans cover birth control with no out-of-pocket cost. But Notre Dame said, we don’t want to provide birth control for our employees.

Advertisement

During the Obama administration, the federal government said, fine, we’ll pay for birth control—all that religious employers have to do is file a waiver saying they aren’t going to pay for it. The government will step in and pick up the tab.

But some employers said that even filing that waiver—which Notre Dame did—was still wrong because it caused birth control to be provided to employees. This case went to the Supreme Court, and didn’t get resolved. Then the executive order seemed to end the argument: employers could choose not to pay for birth control coverage, and their employees wouldn’t get birth control, and that was that. Notre Dame sent a letter to its employees and students, giving the required 60 days notice that birth control coverage would be ending.

But.

Aetna, which provides Notre Dame’s insurance, isn’t changing their plans. They’re just picking up the bill themselves.

Advertisement

I asked Aetna if the reason they’re covering the cost is to comply with the law, which may arguably require them to still cover birth control at no cost, or because it’s a no-brainer that if you cover maternity care, birth control reduces the number of births you have to pay for. A spokesperson told me she would not answer questions about their arrangement with Notre Dame. (Notre Dame didn’t return my calls.)

In any case, there may be nothing the university can do about it. A Notre Dame spokesperson told the South Bend Tribune that after the executive order, “we believed that insurance companies would discontinue no cost coverage … Since then, we have been informed that [our insurance company] will continue such coverage indefinitely.”

The statement also says the university “will not interfere” with the insurance company’s coverage, although it’s unclear whether there’s any way they could. So it’s possible that—depending on your insurer—the executive order doesn’t give religious employers the power they thought it did."
7,"President Trump’s campaign chairmen, Paul Manafort, was indicted Monday morning and ordered to surrender to authorities. According to the New York Times, he is charged with funneling “millions of dollars through overseas shell companies and [using] the money …","https://i.kinja-img.com/gawker-media/image/upload/s--7IzdKLa3--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/oou7a12wqie1nqiqyp69.jpg",2017-10-30T15:35:00Z,Leigh Anderson,Lifehacker.com,Everything You Need to Know About the Paul Manafort Indictment,https://lifehacker.com/everything-you-need-to-know-about-the-paul-manafort-ind-1819972576,[],"Photo by Win McNamee/Getty Images

President Trump’s campaign chairmen, Paul Manafort, was indicted Monday morning and ordered to surrender to authorities. According to the New York Times, he is charged with funneling “millions of dollars through overseas shell companies and [using] the money to buy luxury cars, real estate, antiques and expensive suits.” His associate Rick Gates was also charged. The Times notes that this represents “a significant escalation in a special counsel investigation that has cast a shadow over Mr. Trump’s first year in office.”

What exactly does this mean—what is an indictment, what does it mean to surrender, and what are Manafort’s next steps? And how does this tie into Robert Mueller’s ongoing investigation of the Trump campaign for its possible ties to Russia? I spoke to Matt Kaiser, a former federal public defender and partner at KaiserDillon in Washington, D.C.

What is an indictment?

“The Constitution requires that if anyone is to be charged with a felony in federal court, they must be charged by a grand jury. That means that members of the community come together to hear evidence and see if there is probable cause that the person committed the charges presented to them. The person is still presumed not guilty. The indictment is the formal charging document in which the government sets out the charges and starts the process of the criminal case.”

What happens when a person is indicted?

“Either they self-surrender [as in the case of Manfort] or an arrest warrant is issued. Most federal courts have an initial appearance the same day, unless the indictment comes down late at night. At that hearing, the judge does a few things: He or she will formally tells you what the charges are. You’ll get a copy of the indictment, they’ll make sure you’ve got a lawyer (not an issue in this case), and then they’ll decide what the conditions of your release are.”

Who’s the judge?

Amy Berman Jackson, an Obama appointee. Before she was a judge she was a defense attorney who represented William Jefferson, the Louisiana congressmen convicted in 2009 on corruption charges. “She will quickly issue a scheduling order which will say when motions are due and when trial is set to be.”

What’s the first thing to look for?

“First thing to watch for is the speed with which this case moves—whether the government pushes for a speedy trial or whether it will take some time to try. Mueller personally signed the indictment. I don’t think that’s a big tactical signal, but it’s an interesting thing to note.”

What should we watch out for, in terms of strategy?

“White collar cases like this have started adopting mob or big drug case strategies—indicting lower level people to pressure them to flip. I have to think that this is the strategy here. It’s a big indictment with a lot of charges, and the maximum penalty is massive. Manafort is going to have a difficult choice: Go to trial? Or can he cooperate against the president or the other people that Mueller is trying to get?”

Do you think he’ll take the fall, a la Scooter Libby?

